1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,10,10
11,11,11
12,12,12
13,13,13
14,14,14
15,15,15
16,16,16
17,17,17
18,18,18
19,19,19
20,20,20
21,21,21
22,22,22
23,23,23
24,24,24
25,25,25
26,26,26
27,27,27
28,28,28
29,29,29
30,30,30
31,31,31
32,32,32
33,33,33
34,34,34
35,35,35
36,36,36
37,37,37
38,38,38
39,39,39
40,40,40
41,41,41
42,42,1
43,43,2
44,44,3
45,45,4
46,46,5
47,47,6
48,48,7
49,49,8
50,50,9
51,51,10
52,52,11
53,53,12
54,54,13
55,55,14
56,56,15
57,57,16
58,58,17
59,59,18
60,60,19
61,61,20
62,62,21
63,63,22
64,64,23
65,65,24
66,66,25
67,67,26
68,68,27
69,69,28
70,70,29
71,71,30
72,72,31
73,73,32
74,74,33
75,75,34
76,76,35
77,77,36
78,78,37
79,79,38
80,80,39
81,81,40
82,82,41
83,83,42
