lateralorbitofrontal 1
lateralorbitofrontal 2
lateralorbitofrontal 3
lateralorbitofrontal 4
lateralorbitofrontal 5
lateralorbitofrontal 6
lateralorbitofrontal 7
lateralorbitofrontal 8
lateralorbitofrontal 9
lateralorbitofrontal 10
lateralorbitofrontal 11
lateralorbitofrontal 12
lateralorbitofrontal 13
lateralorbitofrontal 14
lateralorbitofrontal 15
lateralorbitofrontal 16
lateralorbitofrontal 17
lateralorbitofrontal 18
lateralorbitofrontal 19
parsorbitalis 1
parsorbitalis 2
parsorbitalis 3
parsorbitalis 4
parsorbitalis 5
parsorbitalis 6
frontalpole 1
frontalpole 2
medialorbitofrontal 1
medialorbitofrontal 2
medialorbitofrontal 3
medialorbitofrontal 4
medialorbitofrontal 5
medialorbitofrontal 6
medialorbitofrontal 7
medialorbitofrontal 8
medialorbitofrontal 9
medialorbitofrontal 10
medialorbitofrontal 11
medialorbitofrontal 12
parstriangularis 1
parstriangularis 2
parstriangularis 3
parstriangularis 4
parstriangularis 5
parstriangularis 6
parstriangularis 7
parstriangularis 8
parsopercularis 1
parsopercularis 2
parsopercularis 3
parsopercularis 4
parsopercularis 5
parsopercularis 6
parsopercularis 7
parsopercularis 8
parsopercularis 9
parsopercularis 10
rostralmiddlefrontal 1
rostralmiddlefrontal 2
rostralmiddlefrontal 3
rostralmiddlefrontal 4
rostralmiddlefrontal 5
rostralmiddlefrontal 6
rostralmiddlefrontal 7
rostralmiddlefrontal 8
rostralmiddlefrontal 9
rostralmiddlefrontal 10
rostralmiddlefrontal 11
rostralmiddlefrontal 12
rostralmiddlefrontal 13
rostralmiddlefrontal 14
rostralmiddlefrontal 15
rostralmiddlefrontal 16
rostralmiddlefrontal 17
rostralmiddlefrontal 18
rostralmiddlefrontal 19
rostralmiddlefrontal 20
rostralmiddlefrontal 21
rostralmiddlefrontal 22
superiorfrontal 1
superiorfrontal 2
superiorfrontal 3
superiorfrontal 4
superiorfrontal 5
superiorfrontal 6
superiorfrontal 7
superiorfrontal 8
superiorfrontal 9
superiorfrontal 10
superiorfrontal 11
superiorfrontal 12
superiorfrontal 13
superiorfrontal 14
superiorfrontal 15
superiorfrontal 16
superiorfrontal 17
superiorfrontal 18
superiorfrontal 19
superiorfrontal 20
superiorfrontal 21
superiorfrontal 22
superiorfrontal 23
superiorfrontal 24
superiorfrontal 25
superiorfrontal 26
superiorfrontal 27
superiorfrontal 28
superiorfrontal 29
superiorfrontal 30
superiorfrontal 31
superiorfrontal 32
superiorfrontal 33
superiorfrontal 34
superiorfrontal 35
superiorfrontal 36
superiorfrontal 37
superiorfrontal 38
superiorfrontal 39
superiorfrontal 40
superiorfrontal 41
superiorfrontal 42
superiorfrontal 43
superiorfrontal 44
superiorfrontal 45
superiorfrontal 46
caudalmiddlefrontal 1
caudalmiddlefrontal 2
caudalmiddlefrontal 3
caudalmiddlefrontal 4
caudalmiddlefrontal 5
caudalmiddlefrontal 6
caudalmiddlefrontal 7
caudalmiddlefrontal 8
caudalmiddlefrontal 9
caudalmiddlefrontal 10
caudalmiddlefrontal 11
caudalmiddlefrontal 12
caudalmiddlefrontal 13
precentral 1
precentral 2
precentral 3
precentral 4
precentral 5
precentral 6
precentral 7
precentral 8
precentral 9
precentral 10
precentral 11
precentral 12
precentral 13
precentral 14
precentral 15
precentral 16
precentral 17
precentral 18
precentral 19
precentral 20
precentral 21
precentral 22
precentral 23
precentral 24
precentral 25
precentral 26
precentral 27
precentral 28
precentral 29
precentral 30
precentral 31
precentral 32
precentral 33
precentral 34
precentral 35
precentral 36
paracentral 1
paracentral 2
paracentral 3
paracentral 4
paracentral 5
paracentral 6
paracentral 7
paracentral 8
paracentral 9
paracentral 10
paracentral 11
paracentral 12
rostralanteriorcingulate 1
rostralanteriorcingulate 2
rostralanteriorcingulate 3
rostralanteriorcingulate 4
caudalanteriorcingulate 1
caudalanteriorcingulate 2
caudalanteriorcingulate 3
caudalanteriorcingulate 4
posteriorcingulate 1
posteriorcingulate 2
posteriorcingulate 3
posteriorcingulate 4
posteriorcingulate 5
posteriorcingulate 6
posteriorcingulate 7
isthmuscingulate 1
isthmuscingulate 2
isthmuscingulate 3
isthmuscingulate 4
isthmuscingulate 5
isthmuscingulate 6
isthmuscingulate 7
isthmuscingulate 8
postcentral 1
postcentral 2
postcentral 3
postcentral 4
postcentral 5
postcentral 6
postcentral 7
postcentral 8
postcentral 9
postcentral 10
postcentral 11
postcentral 12
postcentral 13
postcentral 14
postcentral 15
postcentral 16
postcentral 17
postcentral 18
postcentral 19
postcentral 20
postcentral 21
postcentral 22
postcentral 23
postcentral 24
postcentral 25
postcentral 26
postcentral 27
postcentral 28
postcentral 29
postcentral 30
postcentral 31
supramarginal 1
supramarginal 2
supramarginal 3
supramarginal 4
supramarginal 5
supramarginal 6
supramarginal 7
supramarginal 8
supramarginal 9
supramarginal 10
supramarginal 11
supramarginal 12
supramarginal 13
supramarginal 14
supramarginal 15
supramarginal 16
superiorparietal 1
superiorparietal 2
superiorparietal 3
superiorparietal 4
superiorparietal 5
superiorparietal 6
superiorparietal 7
superiorparietal 8
superiorparietal 9
superiorparietal 10
superiorparietal 11
superiorparietal 12
superiorparietal 13
superiorparietal 14
superiorparietal 15
superiorparietal 16
superiorparietal 17
superiorparietal 18
superiorparietal 19
superiorparietal 20
superiorparietal 21
superiorparietal 22
superiorparietal 23
superiorparietal 24
superiorparietal 25
superiorparietal 26
superiorparietal 27
inferiorparietal 1
inferiorparietal 2
inferiorparietal 3
inferiorparietal 4
inferiorparietal 5
inferiorparietal 6
inferiorparietal 7
inferiorparietal 8
inferiorparietal 9
